C000   4C   F5   C5    JMP    A:00    X:00    Y:00    P:24    SP:FD       BaseAddr:C5F5    IndirAddr:0000    Absolute
C836   00   A9   04    LDA    A:04    X:00    Y:00    P:6D    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C838   00   48   28    PHA    A:04    X:00    Y:00    P:6D    SP:FA       BaseAddr:0000    IndirAddr:0000    Implied
C839   F0   00   04    PLP    A:04    X:00    Y:00    P:24    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C83A   00   F0   09    BEQ    A:04    X:00    Y:00    P:24    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C83C   00   30   07    BMI    A:04    X:00    Y:00    P:24    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C83E   00   70   05    BVS    A:04    X:00    Y:00    P:24    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C840   00   B0   03    BCS    A:04    X:00    Y:00    P:24    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C842   4C   49   C8    JMP    A:04    X:00    Y:00    P:24    SP:FB       BaseAddr:C849    IndirAddr:0000    Absolute
C849   00   EA   F8    NOP    A:04    X:00    Y:00    P:24    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C84A   00   F8   A9    SED    A:04    X:00    Y:00    P:2C    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C84B   00   A9   FF    LDA    A:FF    X:00    Y:00    P:AC    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C84D   00   85   01    STA    A:FF    X:00    Y:00    P:AC    SP:FB       BaseAddr:0001    IndirAddr:0000    Zero_page
C84F   24   01   FF    BIT    A:FF    X:00    Y:00    P:EC    SP:FB       BaseAddr:0001    IndirAddr:0000    Zero_page
C851   00   18   A9    CLC    A:FF    X:00    Y:00    P:EC    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C852   00   A9   00    LDA    A:00    X:00    Y:00    P:6E    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C854   00   48   A9    PHA    A:00    X:00    Y:00    P:6E    SP:FA       BaseAddr:0000    IndirAddr:0000    Implied
C855   00   A9   FF    LDA    A:FF    X:00    Y:00    P:EC    SP:FA       BaseAddr:0000    IndirAddr:0000    Immediate
C857   D0   00   00    PLA    A:00    X:00    Y:00    P:6E    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C858   00   D0   09    BNE    A:00    X:00    Y:00    P:6E    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C85A   00   30   07    BMI    A:00    X:00    Y:00    P:6E    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C85C   00   50   05    BVC    A:00    X:00    Y:00    P:6E    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C85E   00   B0   03    BCS    A:00    X:00    Y:00    P:6E    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C860   4C   67   C8    JMP    A:00    X:00    Y:00    P:6E    SP:FB       BaseAddr:C867    IndirAddr:0000    Absolute
C867   00   EA   A9    NOP    A:00    X:00    Y:00    P:6E    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C868   00   A9   00    LDA    A:00    X:00    Y:00    P:6E    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C86A   00   85   01    STA    A:00    X:00    Y:00    P:6E    SP:FB       BaseAddr:0001    IndirAddr:0000    Zero_page
C86C   24   01   00    BIT    A:00    X:00    Y:00    P:2E    SP:FB       BaseAddr:0001    IndirAddr:0000    Zero_page
C86E   00   38   A9    SEC    A:00    X:00    Y:00    P:2F    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C86F   00   A9   FF    LDA    A:FF    X:00    Y:00    P:AD    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C871   00   48   A9    PHA    A:FF    X:00    Y:00    P:AD    SP:FA       BaseAddr:0000    IndirAddr:0000    Implied
C872   00   A9   00    LDA    A:00    X:00    Y:00    P:2F    SP:FA       BaseAddr:0000    IndirAddr:0000    Immediate
C874   F0   00   FF    PLA    A:FF    X:00    Y:00    P:AD    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C875   00   F0   09    BEQ    A:FF    X:00    Y:00    P:AD    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C877   00   10   07    BPL    A:FF    X:00    Y:00    P:AD    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C879   00   70   05    BVS    A:FF    X:00    Y:00    P:AD    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C87B   00   90   03    BCC    A:FF    X:00    Y:00    P:AD    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C87D   4C   84   C8    JMP    A:FF    X:00    Y:00    P:AD    SP:FB       BaseAddr:C884    IndirAddr:0000    Absolute
C884   02   C6   20    RTS    A:FF    X:00    Y:00    P:AD    SP:FD       BaseAddr:0000    IndirAddr:0000    Implied
C603   85   C6   C8    JSR    A:FF    X:00    Y:00    P:AD    SP:FB       BaseAddr:C885    IndirAddr:0000    Absolute
C885   00   EA   18    NOP    A:FF    X:00    Y:00    P:AD    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C886   00   18   A9    CLC    A:FF    X:00    Y:00    P:AC    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C887   00   A9   FF    LDA    A:FF    X:00    Y:00    P:AC    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C889   00   85   01    STA    A:FF    X:00    Y:00    P:AC    SP:FB       BaseAddr:0001    IndirAddr:0000    Zero_page
C88B   24   01   FF    BIT    A:FF    X:00    Y:00    P:EC    SP:FB       BaseAddr:0001    IndirAddr:0000    Zero_page
C88D   00   A9   55    LDA    A:55    X:00    Y:00    P:6C    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C88F   00   09   AA    ORA    A:FF    X:00    Y:00    P:EC    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C891   00   B0   0B    BCS    A:FF    X:00    Y:00    P:EC    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C893   00   10   09    BPL    A:FF    X:00    Y:00    P:EC    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C895   00   C9   FF    CMP    A:FF    X:00    Y:00    P:6F    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C897   00   D0   05    BNE    A:FF    X:00    Y:00    P:6F    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C899   00   50   03    BVC    A:FF    X:00    Y:00    P:6F    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C89B   4C   A2   C8    JMP    A:FF    X:00    Y:00    P:6F    SP:FB       BaseAddr:C8A2    IndirAddr:0000    Absolute
C8A2   00   EA   38    NOP    A:FF    X:00    Y:00    P:6F    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C8A3   00   38   B8    SEC    A:FF    X:00    Y:00    P:6F    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C8A4   00   B8   A9    CLV    A:FF    X:00    Y:00    P:2F    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C8A5   00   A9   00    LDA    A:00    X:00    Y:00    P:2F    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C8A7   00   09   00    ORA    A:00    X:00    Y:00    P:2F    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C8A9   00   D0   09    BNE    A:00    X:00    Y:00    P:2F    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C8AB   00   70   07    BVS    A:00    X:00    Y:00    P:2F    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C8AD   00   90   05    BCC    A:00    X:00    Y:00    P:2F    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C8AF   00   30   03    BMI    A:00    X:00    Y:00    P:2F    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C8B1   4C   B8   C8    JMP    A:00    X:00    Y:00    P:2F    SP:FB       BaseAddr:C8B8    IndirAddr:0000    Absolute
C8B8   00   EA   18    NOP    A:00    X:00    Y:00    P:2F    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C8B9   00   18   24    CLC    A:00    X:00    Y:00    P:2E    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C8BA   24   01   FF    BIT    A:00    X:00    Y:00    P:EE    SP:FB       BaseAddr:0001    IndirAddr:0000    Zero_page
C8BC   00   A9   55    LDA    A:55    X:00    Y:00    P:6C    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C8BE   00   29   AA    AND    A:00    X:00    Y:00    P:6E    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C8C0   00   D0   09    BNE    A:00    X:00    Y:00    P:6E    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C8C2   00   50   07    BVC    A:00    X:00    Y:00    P:6E    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C8C4   00   B0   05    BCS    A:00    X:00    Y:00    P:6E    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C8C6   00   30   03    BMI    A:00    X:00    Y:00    P:6E    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C8C8   4C   CF   C8    JMP    A:00    X:00    Y:00    P:6E    SP:FB       BaseAddr:C8CF    IndirAddr:0000    Absolute
C8CF   00   EA   38    NOP    A:00    X:00    Y:00    P:6E    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C8D0   00   38   B8    SEC    A:00    X:00    Y:00    P:6F    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C8D1   00   B8   A9    CLV    A:00    X:00    Y:00    P:2F    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C8D2   00   A9   F8    LDA    A:F8    X:00    Y:00    P:AD    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C8D4   00   29   EF    AND    A:E8    X:00    Y:00    P:AD    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C8D6   00   90   0B    BCC    A:E8    X:00    Y:00    P:AD    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C8D8   00   10   09    BPL    A:E8    X:00    Y:00    P:AD    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C8DA   00   C9   E8    CMP    A:E8    X:00    Y:00    P:2F    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C8DC   00   D0   05    BNE    A:E8    X:00    Y:00    P:2F    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C8DE   00   70   03    BVS    A:E8    X:00    Y:00    P:2F    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C8E0   4C   E7   C8    JMP    A:E8    X:00    Y:00    P:2F    SP:FB       BaseAddr:C8E7    IndirAddr:0000    Absolute
C8E7   00   EA   18    NOP    A:E8    X:00    Y:00    P:2F    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C8E8   00   18   24    CLC    A:E8    X:00    Y:00    P:2E    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C8E9   24   01   FF    BIT    A:E8    X:00    Y:00    P:EC    SP:FB       BaseAddr:0001    IndirAddr:0000    Zero_page
C8EB   00   A9   5F    LDA    A:5F    X:00    Y:00    P:6C    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C8ED   00   49   AA    EOR    A:F5    X:00    Y:00    P:EC    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C8EF   00   B0   0B    BCS    A:F5    X:00    Y:00    P:EC    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C8F1   00   10   09    BPL    A:F5    X:00    Y:00    P:EC    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C8F3   00   C9   F5    CMP    A:F5    X:00    Y:00    P:6F    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C8F5   00   D0   05    BNE    A:F5    X:00    Y:00    P:6F    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C8F7   00   50   03    BVC    A:F5    X:00    Y:00    P:6F    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C8F9   4C   00   C9    JMP    A:F5    X:00    Y:00    P:6F    SP:FB       BaseAddr:C900    IndirAddr:0000    Absolute
C900   00   EA   38    NOP    A:F5    X:00    Y:00    P:6F    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C901   00   38   B8    SEC    A:F5    X:00    Y:00    P:6F    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C902   00   B8   A9    CLV    A:F5    X:00    Y:00    P:2F    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C903   00   A9   70    LDA    A:70    X:00    Y:00    P:2D    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C905   00   49   70    EOR    A:00    X:00    Y:00    P:2F    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C907   00   D0   09    BNE    A:00    X:00    Y:00    P:2F    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C909   00   70   07    BVS    A:00    X:00    Y:00    P:2F    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
